INFO   | jvm 1    | 2013/11/17 07:21:31 | Card:Intel(R) 82574L Gigabit Network Connection-WFP Native MAC Layer LightWeight Filter-0000
INFO   | jvm 1    | 2013/11/17 07:38:50 | 
INFO   | jvm 1    | 2013/11/17 07:38:50 | 
INFO   | jvm 1    | 2013/11/17 07:38:50 | --- [ Licence Loaded ] ------------------------------------
INFO   | jvm 1    | 2013/11/17 07:38:50 | 
INFO   | jvm 1    | 2013/11/17 07:38:50 | License Type 	-> PRO
INFO   | jvm 1    | 2013/11/17 07:38:50 | License Owner 	-> --== Crack By Sam ==--
INFO   | jvm 1    | 2013/11/17 07:38:50 | Max. Clients 	-> Unlimited
INFO   | jvm 1    | 2013/11/17 07:38:50 | BlueBox Type 	-> Demo Version
INFO   | jvm 1    | 2013/11/17 07:38:50 | 
INFO   | jvm 1    | 2013/11/17 07:38:50 | --- [ Zones & Rooms ] -------------------------------------
INFO   | jvm 1    | 2013/11/17 07:38:50 | 
INFO   | jvm 1    | 2013/11/17 07:38:50 | 	DB Manager Activated ( com.mysql.jdbc.Driver )
INFO   | jvm 1    | 2013/11/17 07:38:54 | Zone: zone_master
INFO   | jvm 1    | 2013/11/17 07:38:54 | 
INFO   | jvm 1    | 2013/11/17 07:38:54 | 	Lobby              (id: 1, max: 40, pass:N)
INFO   | jvm 1    | 2013/11/17 07:38:55 | 
INFO   | jvm 1    | 2013/11/17 07:38:55 | 
INFO   | jvm 1    | 2013/11/17 07:38:55 | --- [ Ente Isla ] ------------------------------------
INFO   | jvm 1    | 2013/11/17 07:38:55 | 
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	Accepting Requests:
INFO   | jvm 1    | 2013/11/17 07:38:55 | 
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> removeItem
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> doMining
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> house
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> acceptQuest
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> getfriendlist
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> afk
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> aggroMon
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> bankToInv
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> declineFriend
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> whisper
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> getDrop
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> sellItem
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> restRequest
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> doFishing
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> buyItem
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> guild
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> buyBagSlots
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> mute
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> buyHouseSlots
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> updateQuest
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> da
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> setAchievement
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> getAdData
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> getXmasGift
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> firstJoin
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> enhanceItemShop
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> getQuests
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> changeArmorColor
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> gar
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> cmd
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> housesave
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> changeColor
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> deleteFriend
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> bankFromInv
INFO   | jvm 1    | 2013/11/17 07:38:55 | 	 -> cc
